Commands:
    CTRL+R    Reset chip
    CTRL+C    Exit

ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x2b (SPI_FAST_FLASH_BOOT)
Saved PC:0x40378eb1
SPIWP:0xee
mode:DIO, clock div:2
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (28) boot: ESP-IDF v5.5.1-838-gd66ebb86d2e 2nd stage bootloader
I (29) boot: compile time Nov 26 2025 12:27:56
I (29) boot: Multicore bootloader
I (30) boot: chip revision: v0.2
I (32) boot: efuse block revision: v1.4
I (36) boot.esp32s3: Boot SPI Speed : 40MHz
I (40) boot.esp32s3: SPI Mode       : DIO
I (44) boot.esp32s3: SPI Flash Size : 4MB
I (47) boot: Enabling RNG early entropy source...
I (52) boot: Partition Table:
I (54) boot: ## Label            Usage          Type ST Offset   Length
I (61) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (67) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (74) boot:  2 factory          factory app      00 00 00010000 003f0000
I (80) boot: End of partition table
I (84) esp_image: segment 0: paddr=00010020 vaddr=3c000020 size=02bb0h ( 11184) map
I (94) esp_image: segment 1: paddr=00012bd8 vaddr=3fc897a8 size=01a58h (  6744) load
I (100) esp_image: segment 2: paddr=00014638 vaddr=40378000 size=017a8h (  6056) load
I (108) esp_image: segment 3: paddr=00015de8 vaddr=00000000 size=0a230h ( 41520) 
I (123) esp_image: segment 4: paddr=00020020 vaddr=42010020 size=080d0h ( 32976) map
I (134) boot: Loaded app from partition at offset 0x10000
I (134) boot: Disabling RNG early entropy source...
# sensor OK (WHO_AM_I = 0x68)
# capture: 128 samples @ 20 ms (~50 Hz)
# columns: ax,ay,az,gx,gy,gz (raw counts)
# press BOOT, wait for GO, then perform the gesture
# ready...
# GO
3528,-5788,13764,-111,-4102,-161
2024,-6576,11744,2353,-495,454
832,-6860,14656,1953,417,-1284
2284,-5696,13672,4020,-2454,-1564
4264,-4760,14824,5820,-1635,-156
1936,-5660,19188,2553,2397,-957
1588,-5408,19500,-4242,1855,-2743
4392,-3600,12324,-2113,1348,-1851
5836,-3376,14176,2500,1233,1283
996,-5200,17224,4301,-483,1787
372,-4980,18496,3518,-565,-1605
3772,-3460,17564,258,-38,-2826
4764,-2764,16224,851,499,-640
2748,-3804,18428,836,333,323
1560,-4448,18104,-1733,567,-948
2660,-3896,14800,-1124,950,-1947
3476,-3276,17156,995,748,-1652
5192,-2464,18536,-389,-1739,-198
2580,-3428,15392,145,-867,902
2212,-3748,17356,188,1489,-990
3496,-2980,19112,-800,972,-1123
3140,-3036,16784,-1264,-663,-395
2392,-3232,17960,-1165,-309,-231
2896,-3064,17252,-3106,1094,-761
3560,-3100,15916,-3246,629,-552
2216,-3976,14536,-1603,820,-945
1732,-3928,15056,379,1311,-3031
4432,-2188,18092,990,1016,-3019
5376,-1032,18400,-552,-337,190
2900,-2948,17524,-2330,1307,1650
1344,-3580,16432,-2480,1313,547
1920,-3524,16724,-1206,409,-730
3340,-2328,15688,833,-95,-209
2204,-2852,17980,929,1548,-11
2392,-2564,18824,-560,582,-485
2160,-3140,17196,-1008,233,-230
2032,-3068,16812,-592,865,-822
2816,-2496,17348,-909,1131,-781
2348,-2776,16620,-1224,11,-235
2580,-2608,16280,-648,518,-474
2600,-2688,16480,-569,1122,-318
2552,-2816,15996,41,1611,-925
2548,-2136,17752,-1015,1454,-188
2412,-1856,17448,-2173,2535,223
2208,-2132,16684,-2542,1263,778
540,-2780,15724,-1288,1702,553
1140,-2524,16096,-179,1748,-504
1764,-1724,18556,-674,1982,-70
1232,-2364,17376,-2275,157,461
88,-2672,16908,-1999,101,-368
1856,-1828,17260,-1476,547,-900
1860,-1020,17904,-1727,-1246,556
1260,-2752,16892,-1610,-473,1511
1120,-2984,19332,-3169,-540,686
760,-3260,17460,-5356,-231,-178
1996,-3008,15508,-3820,-1596,-533
2120,-3496,14900,-816,-566,48
1968,-3268,15924,833,2,-170
2064,-2788,17964,1163,791,-351
2748,-1768,17096,506,1115,1123
-204,-2544,18248,398,138,1682
1660,-2232,18396,-1549,-592,122
2480,-1612,17088,-3031,-854,1017
1176,-2808,16616,-3608,-1368,1022
-32,-3500,14820,-2765,-215,-594
2184,-2800,15200,-1160,1397,-2113
2128,-2332,15948,-1025,2803,-1417
2004,-2744,15840,-678,1217,-296
1752,-2916,16712,-286,694,436
1764,-2780,17832,-1326,-794,1247
380,-3368,17164,-1861,987,1036
624,-3748,19188,-2138,-2067,-1172
1996,-2620,15532,-1522,-2974,-660
1352,-3524,16788,54,-1278,-1110
1992,-3328,18132,-825,187,-2071
3328,-2384,16888,-684,-1882,-971
2028,-3152,16684,517,-807,110
2812,-3156,19000,324,761,161
3032,-3132,19628,-2277,59,1408
-632,-4496,16480,-3389,-121,408
# recorded 1 gesture(s)
